,lat,long,date,mda8,site_name,geometry,UniqueID
86135,39.838119,-104.94984,2018-01-01,0.005882,Welby,POINT (-104.94984 39.838119),08_001_3001
86136,39.838119,-104.94984,2018-01-02,0.010294,Welby,POINT (-104.94984 39.838119),08_001_3001
86137,39.838119,-104.94984,2018-01-03,0.010176,Welby,POINT (-104.94984 39.838119),08_001_3001
86140,39.838119,-104.94984,2018-01-07,0.013294,Welby,POINT (-104.94984 39.838119),08_001_3001
86141,39.838119,-104.94984,2018-01-08,0.0,Welby,POINT (-104.94984 39.838119),08_001_3001
86142,39.838119,-104.94984,2018-01-09,0.007529,Welby,POINT (-104.94984 39.838119),08_001_3001
86143,39.838119,-104.94984,2018-01-10,0.009647,Welby,POINT (-104.94984 39.838119),08_001_3001
86144,39.838119,-104.94984,2018-01-11,0.017294,Welby,POINT (-104.94984 39.838119),08_001_3001
86145,39.838119,-104.94984,2018-01-12,0.013471,Welby,POINT (-104.94984 39.838119),08_001_3001
86146,39.838119,-104.94984,2018-01-13,0.015941,Welby,POINT (-104.94984 39.838119),08_001_3001
86147,39.838119,-104.94984,2018-01-14,0.015118,Welby,POINT (-104.94984 39.838119),08_001_3001
86148,39.838119,-104.94984,2018-01-15,0.026941,Welby,POINT (-104.94984 39.838119),08_001_3001
86149,39.838119,-104.94984,2018-01-16,0.010882,Welby,POINT (-104.94984 39.838119),08_001_3001
86150,39.838119,-104.94984,2018-01-17,0.007118,Welby,POINT (-104.94984 39.838119),08_001_3001
86151,39.838119,-104.94984,2018-01-18,0.006941,Welby,POINT (-104.94984 39.838119),08_001_3001
86152,39.838119,-104.94984,2018-01-19,0.004882,Welby,POINT (-104.94984 39.838119),08_001_3001
86153,39.838119,-104.94984,2018-01-20,0.021412,Welby,POINT (-104.94984 39.838119),08_001_3001
86154,39.838119,-104.94984,2018-01-21,0.032118,Welby,POINT (-104.94984 39.838119),08_001_3001
86155,39.838119,-104.94984,2018-01-22,0.030824,Welby,POINT (-104.94984 39.838119),08_001_3001
86156,39.838119,-104.94984,2018-01-23,0.019882,Welby,POINT (-104.94984 39.838119),08_001_3001
